MONTH,ERA5,M_CLM,E_HIRHAM,E_RACMO,H_RACMO,C_RCA,E_RCA,I_RCA,H_RCA,M_RCA,VAR,PERIOD
I,7.8141,13.247,11.103,7.5478,8.6389,13.856,14.972,20.583,18.355,15.655,LE,2076_2100
II,11.838,20.244,14.559,9.7379,11.278,22.757,20.872,29.759,25.721,24.831,LE,2076_2100
III,27.556,39.254,19.761,19.328,21.799,40.549,43.631,48.319,45.865,48.061,LE,2076_2100
IV,55.625,56.72,38.946,43.17,46.738,66.98,70.771,72.626,73.126,73.439,LE,2076_2100
V,82.514,75.819,69.716,74.028,83.62,93.08,96.901,95.896,105.99,103.63,LE,2076_2100
VI,91.523,86.923,91.98,87.158,101.35,115.17,106.04,107.27,112.32,107.32,LE,2076_2100
VII,91.303,85.5,91.178,77.932,79.877,112.56,92.105,91.362,80.524,95.765,LE,2076_2100
VIII,76.221,68.431,69.404,61.835,59.799,89.591,64.81,70.41,59.55,70.768,LE,2076_2100
IX,49.056,46.53,42.693,41.44,40.816,61.089,46.505,50.13,43.904,56.423,LE,2076_2100
X,28.126,28.682,18.592,22.53,23.53,36.573,33.195,36.815,32.38,37.014,LE,2076_2100
XI,13.109,19.649,11.173,10.853,11.493,21.189,19.698,26.711,19.69,23.01,LE,2076_2100
XII,7.4886,15.062,10.312,7.6947,8.5371,12.798,13.835,22.423,15.401,16.564,LE,2076_2100
I,39.196,35.967,25.53,36.597,37.26,51.572,47.868,47.113,47.047,46.962,Rg,1981_2005
II,72.488,64.673,54.905,72.495,73.321,88.4,85.744,81.379,81.972,81.455,Rg,1981_2005
III,118.85,105.36,104.73,141.33,130.2,142.09,142.67,139.14,132.74,133.39,Rg,1981_2005
IV,177.97,149.57,162.7,196.92,190.49,185.65,188,179.95,183.19,179.85,Rg,1981_2005
V,215.1,189.36,194.49,220.76,223.05,219.4,215.56,209.78,228.7,216.46,Rg,1981_2005
VI,217.64,189.25,210.08,212.92,241.01,231.64,230.98,227.8,264.53,235.69,Rg,1981_2005
VII,212.61,170.75,191.69,208.25,225.94,233.92,233.86,236.56,243.66,225.93,Rg,1981_2005
VIII,185.98,145.36,158.06,187.08,182.2,201.17,207.66,200.18,215.01,195.55,Rg,1981_2005
IX,127.58,111.71,106.84,128.75,134.68,145.9,150.97,142.62,154.7,147.8,Rg,1981_2005
X,81.243,69.027,59.156,81.653,80.258,95.288,97.411,94.26,96.098,92.661,Rg,1981_2005
XI,43.176,39.444,29.615,42.006,41.61,55.829,59.344,54.871,56.708,55.762,Rg,1981_2005
XII,29.806,25.434,18.738,28.59,28.199,40.89,40.637,37.731,37.445,36.77,Rg,1981_2005
I,NA,31.294,22.826,34.527,30.706,44.439,44.849,42.645,39.948,43.521,Rg,2076_2100
II,NA,53.924,49.65,73.406,67.156,75.303,79.263,71.525,72.583,72.641,Rg,2076_2100
III,NA,90.537,100.71,125.41,119.59,125.76,128.08,117.71,124.65,122.74,Rg,2076_2100
IV,NA,131.51,154.38,183.87,186.55,171.18,178.07,166.88,175.13,170.19,Rg,2076_2100
V,NA,167.32,181.76,198.37,221.9,202.9,211.82,203.76,229.84,216.34,Rg,2076_2100
VI,NA,168.58,207.43,223.21,251.96,229.04,237.47,239.22,266.68,228.6,Rg,2076_2100
VII,NA,171.83,199.02,225.74,240.1,229.68,248.43,240.15,255.39,232.06,Rg,2076_2100
VIII,NA,152.56,160.39,194.37,199.92,192.97,222.12,203.12,214.58,201.34,Rg,2076_2100
IX,NA,111.6,110.45,140.94,146.03,138.42,157.13,149.17,158.59,144.42,Rg,2076_2100
X,NA,67.57,59.843,83.136,84.147,89.942,93.693,87.568,95.908,89.049,Rg,2076_2100
XI,NA,35.352,26.881,41.67,42.003,50.78,53.039,50.082,52.68,51.994,Rg,2076_2100
XII,NA,23.351,16.799,26.689,24.753,35.631,35.796,32.35,33.549,33.759,Rg,2076_2100
I,27.632,23.764,19.583,23.042,22.39,28.607,32.338,31.963,32.823,32.719,SW_net,1981_2005
II,50.522,45.109,42.548,45.066,45.334,52.019,57.685,53.85,59.493,58.352,SW_net,1981_2005
III,92.659,84.658,82.46,100.12,92.692,101.6,107.75,104.94,104.34,105.87,SW_net,1981_2005
IV,146.35,125.36,132.31,151.64,148.39,149.32,152.44,145.66,150.6,147.77,SW_net,1981_2005
V,176.93,161.47,162.54,177.43,179.32,180.94,178.2,173.26,189.84,179.62,SW_net,1981_2005
VI,179.74,162.49,176.98,172.44,196.13,192.47,192.06,189.47,220.36,196.24,SW_net,1981_2005
VII,177.41,146.48,161.72,169.54,184.24,194.83,194.82,197.1,203.08,188.24,SW_net,1981_2005
VIII,156.64,124.08,133.28,152.36,148.44,167.24,172.64,166.41,178.83,162.58,SW_net,1981_2005
IX,108.49,93.839,89.569,104.41,109.51,120.39,124.53,117.68,127.7,121.97,SW_net,1981_2005
X,69.725,56.625,48.48,65.254,64.365,77.412,79.115,76.708,78.254,75.436,SW_net,1981_2005
XI,35.622,30.859,23.437,31.145,31.572,43.099,46.323,43.14,44.647,44.242,SW_net,1981_2005
XII,22.07,18.604,14.648,19.589,18.163,26.463,28.135,27.332,26.959,27.374,SW_net,1981_2005
I,NA,23.576,17.857,25.002,22.439,33.128,34.57,33.462,31.511,33.903,SW_net,2076_2100
II,NA,42.258,38.858,53.789,49.887,58.417,61.901,57.215,58.232,57.725,SW_net,2076_2100
III,NA,74.625,79.566,96.655,92.827,101.31,104.36,96.144,102.22,100.65,SW_net,2076_2100
IV,NA,110.74,125.55,147.18,149.76,141.03,147.43,138,145.32,141.16,SW_net,2076_2100
V,NA,142.72,151.94,160.79,180.6,168.46,176.13,169.35,191.28,179.96,SW_net,2076_2100
VI,NA,144.72,174.78,182.21,206.27,190.78,197.81,199.28,222.28,190.45,SW_net,2076_2100
VII,NA,147.46,167.92,184.64,196.65,191.42,207.07,200.16,212.94,193.43,SW_net,2076_2100
VIII,NA,130.18,135.26,158.99,163.68,160.45,184.71,168.92,178.5,167.44,SW_net,2076_2100
IX,NA,93.673,92.618,115.13,119.41,114.27,129.73,123.15,130.99,119.21,SW_net,2076_2100
X,NA,55.36,49.089,67.545,68.58,73.394,76.515,71.5,78.373,72.716,SW_net,2076_2100
XI,NA,28.206,21.306,32.83,33.756,40.611,42.713,40.397,42.573,41.905,SW_net,2076_2100
XII,NA,18.198,13.144,20.084,19.147,27.182,28.067,25.754,26.836,26.766,SW_net,2076_2100
I,37.568,38.491,37.312,30.927,29.683,41.423,42.062,40.019,41.718,40.665,LW_net,1981_2005
II,44.12,39.934,44.731,37.771,37.974,46.215,48.904,43.863,47.068,45.789,LW_net,1981_2005
III,50.532,46.074,54.09,54.425,49.067,50.213,54.76,51.397,51.27,50.167,LW_net,1981_2005
IV,60.022,51.531,62.956,60.099,57.553,52.724,54.585,50.822,53.262,51.737,LW_net,1981_2005
V,62.156,57.682,60.238,56.406,55.263,53.272,52.774,50.185,56.54,52.279,LW_net,1981_2005
VI,58.711,51.014,59.128,49.995,57.357,51.96,53.148,50.771,64.637,53.124,LW_net,1981_2005
VII,58.528,46.285,54.987,52.578,58.94,55.64,57.383,56.505,64.64,54.023,LW_net,1981_2005
VIII,59.433,45.835,53.716,56.262,55.148,55.519,60.635,55.932,65.897,52.596,LW_net,1981_2005
IX,52.79,47.612,49.577,49.775,51.513,50.172,53.732,48.42,56.749,49.888,LW_net,1981_2005
X,49.161,43.415,43.128,44.203,43.782,46.946,49.48,46.495,48.376,45.423,LW_net,1981_2005
XI,38.766,41.219,38.854,34.275,34.1,42.871,48.063,42.063,44.668,43.364,LW_net,1981_2005
XII,34.754,34.44,36.779,29.838,28.597,42.167,43.24,39.303,39.222,38.051,LW_net,1981_2005
I,NA,35.627,33.647,29.983,26.684,37.721,39.972,36.401,33.88,37.2,LW_net,2076_2100
II,NA,35.115,40.99,40.707,36.926,41.356,45.645,38.668,39.643,39.789,LW_net,2076_2100
III,NA,38.435,52.093,48.757,45.507,45.477,46.952,40.481,45.327,43.694,LW_net,2076_2100
IV,NA,42.404,60.179,55.17,55.817,46.955,49.044,44.286,47.171,45.297,LW_net,2076_2100
V,NA,46.08,55.141,45.735,50.916,45.73,48.568,44.047,51.988,47.557,LW_net,2076_2100
VI,NA,40.406,56.041,48.113,52.142,46.515,51.051,49.799,59.703,46.642,LW_net,2076_2100
VII,NA,42.709,53.918,52.232,54.886,49.107,60.637,54.824,64.569,51.477,LW_net,2076_2100
VIII,NA,45.704,51.527,53.44,54.142,47.145,65.08,52.958,61.778,53.071,LW_net,2076_2100
IX,NA,46.602,49.689,51.063,52.08,42.014,54.69,47.329,54.854,46.128,LW_net,2076_2100
X,NA,41.895,44.001,43.103,43.707,40.853,44.327,38.865,44.523,39.724,LW_net,2076_2100
XI,NA,34.851,35.685,34.342,34.819,36.575,39.169,35.858,38.53,37.257,LW_net,2076_2100
XII,NA,33.342,33.088,29.178,27.491,35.858,37.559,32.55,33.545,34.199,LW_net,2076_2100
I,57.462,72,77.326,67.481,57.634,63.484,69.133,78.744,57.455,68.84,P,1981_2005
II,51.047,65.402,58.461,54.201,64.093,58.369,51.337,64.892,64.102,57.779,P,1981_2005
III,63.407,71.243,56.746,38.3,56.935,69.082,58.86,71.629,64.136,69.311,P,1981_2005
IV,63.022,77.502,58.06,44.292,51.712,82.409,71.506,79.588,68.289,83.626,P,1981_2005
V,80.323,83.264,84.539,69.445,67.461,94.723,97.164,98.215,80.544,95.329,P,1981_2005
VI,91.552,92.612,78.746,92.819,66.308,120.77,98.55,97.561,69.174,95.063,P,1981_2005
VII,97.963,111.42,91.747,85.636,61.747,110.33,91.448,83.395,66.567,97.331,P,1981_2005
VIII,84.444,101.05,85.792,61.853,66.203,99.94,69.382,72.625,60.089,87.948,P,1981_2005
IX,71.716,78.565,73.633,64.31,59.21,93.23,72.432,74.725,56.655,77.953,P,1981_2005
X,56.987,78.479,77.519,58.731,65.852,81.275,67.272,77.437,69.832,81.305,P,1981_2005
XI,59.905,69.74,71.28,61.731,64.224,76.133,56.487,77.624,63.543,68.905,P,1981_2005
XII,65.809,80.206,78.619,59.47,64.558,68.894,58.709,81.894,68.742,76.579,P,1981_2005
I,NA,81.483,91.319,73.884,92.992,79.287,72.746,90.9,85.113,81.616,P,2076_2100
II,NA,75.656,72.967,48.981,77.413,72.768,54.737,79.319,79.195,76.753,P,2076_2100
III,NA,82.2,65.581,53.135,69.282,81.528,73.735,99.195,73.743,84.977,P,2076_2100
IV,NA,88.866,74.242,55.851,63.919,94.383,75.115,94.864,80.544,91.954,P,2076_2100
V,NA,97.72,89.614,100.81,85.882,121.83,102.24,98.472,89.212,99.241,P,2076_2100
VI,NA,99.05,84.544,85.758,81.784,132.62,85.32,79.686,77.578,94.599,P,2076_2100
VII,NA,83.179,88.62,74.755,63.809,124.88,73.023,72.489,56.884,81.41,P,2076_2100
VIII,NA,75.391,81.123,67.833,58.332,116.31,58.646,67.57,54.97,72.491,P,2076_2100
IX,NA,74.858,77.009,59.289,55.944,104.46,62.804,62.91,53.842,80.209,P,2076_2100
X,NA,81.494,76.231,61.612,70.412,86.098,77.103,89.003,65.238,86.062,P,2076_2100
XI,NA,77.604,87.352,68.403,71.928,90.891,70.082,101.05,70.446,82.254,P,2076_2100
XII,NA,93.126,89.521,74.015,85.059,82.869,74.278,108.75,82.881,88.768,P,2076_2100
I,-1.38,-1.4108,-1.2658,-1.3811,-2.2999,-2.7019,-0.14065,0.35062,0.51284,0.31461,Ta,1981_2005
II,-0.64,-0.60689,0.052789,-1.5794,-0.91884,-2.5085,-0.77438,-0.32887,1.3554,0.70006,Ta,1981_2005
III,3.2,3.365,2.5855,0.73415,2.2131,0.74188,1.9643,2.2391,3.7671,4.1438,Ta,1981_2005
IV,7.62,7.6017,8.2669,5.9467,6.8378,5.1748,6.2368,5.4998,7.7564,7.9847,Ta,1981_2005
V,12.99,12.171,10.947,11.35,12.207,10.051,10.185,9.0209,12.339,11.873,Ta,1981_2005
VI,15.72,14.747,14.313,13.704,16.821,14.218,13.056,13.289,16.921,14.921,Ta,1981_2005
VII,17.9,15.907,16.035,15.989,18.571,16.705,15.987,16.854,18.475,16.693,Ta,1981_2005
VIII,17.84,15.219,15.078,15.794,16.926,16.384,15.685,16.564,17.949,16.661,Ta,1981_2005
IX,13.62,12.65,11.861,11.71,12.997,12.654,12.211,12.654,13.636,13.756,Ta,1981_2005
X,9.07,8.0815,7.3666,7.4205,7.5541,8.0291,7.5515,8.3206,8.5252,9.2685,Ta,1981_2005
XI,3.26,3.129,3.6815,1.9282,2.8406,2.9218,3.6382,4.5876,4.1571,4.4743,Ta,1981_2005
XII,-0.31,0.65642,-0.087887,-0.39588,-1.8683,-1.3022,0.1178,1.7861,0.74664,2.082,Ta,1981_2005
I,NA,1.951,2.3404,2.0292,3.0968,2.1904,3.3066,4.0751,5.0536,3.8074,Ta,2076_2100
II,NA,2.9399,3.2584,2.2307,3.5623,3.469,3.463,5.1843,5.3088,4.6859,Ta,2076_2100
III,NA,6.0057,5.106,4.7032,6.1882,4.8307,6.4255,6.8347,7.4295,7.6116,Ta,2076_2100
IV,NA,9.6736,10.661,9.6416,11.036,8.1354,9.8898,8.9288,10.86,10.802,Ta,2076_2100
V,NA,13.951,13.333,13.253,16.004,11.916,13.418,12.518,16.076,14.848,Ta,2076_2100
VI,NA,16.724,17.426,16.644,21.852,16.889,16.782,17.799,21.752,17.874,Ta,2076_2100
VII,NA,19.018,19.498,19.583,23.493,19.353,20.239,21.415,23.707,20.781,Ta,2076_2100
VIII,NA,19.308,18.717,19.258,22.462,19.023,20.793,21.246,22.84,21.164,Ta,2076_2100
IX,NA,16.089,15.788,16.059,18.83,15.511,16.857,18.565,19.517,17.125,Ta,2076_2100
X,NA,10.907,10.817,11.231,13.581,10.72,11.683,12.027,14.074,12.202,Ta,2076_2100
XI,NA,6.538,6.1697,5.7846,7.4403,6.6252,7.2329,8.0037,8.7196,8.2366,Ta,2076_2100
XII,NA,3.2977,3.6113,2.6496,4.146,3.1697,4.2456,5.6082,5.8994,5.0486,Ta,2076_2100
I,83.523,88.797,86.144,86.016,86.271,85.709,84.649,83.645,86.136,86.608,RH,1981_2005
II,80.431,88.02,82.367,80.785,80.494,83.179,81.958,81.91,81.494,83.348,RH,1981_2005
III,77.124,84.897,75.37,71.905,74.178,80.383,78.627,78.243,79.822,81.177,RH,1981_2005
IV,73.268,79.639,68.379,69.056,70.14,79.656,78.83,78.81,79.839,81.422,RH,1981_2005
V,72.375,75.245,71.733,74.019,75.081,81.253,80.183,80.337,79.472,81.447,RH,1981_2005
VI,72.981,77.666,73.133,76.175,72.554,81.657,78.822,79.916,72.581,78.553,RH,1981_2005
VII,72.382,78.97,74.249,72.083,67.027,77.799,74.78,76.133,66.64,75.197,RH,1981_2005
VIII,72.436,80.649,75.613,69.932,69.188,76.191,70.4,73.536,64.916,75.345,RH,1981_2005
IX,77.152,81.606,77.774,74.731,74.33,79.802,75.668,77.904,72.358,78.005,RH,1981_2005
X,80.788,85.713,81.025,80.985,81.068,84.243,81.392,81.733,82.044,82.331,RH,1981_2005
XI,85.311,88.523,83.576,85.823,85.773,86.759,84.299,84.154,85.125,86.512,RH,1981_2005
XII,85.35,89.771,86.061,88.372,87.263,85.898,86.245,84.549,86.146,86.98,RH,1981_2005
I,NA,89.376,86.415,85.845,87.568,86.104,86.37,84.878,86.93,87.048,RH,2076_2100
II,NA,88.911,82.222,78.612,80.09,84.357,84.043,82.603,85.043,84.657,RH,2076_2100
III,NA,85.943,75.331,72.458,72.655,81.63,81.437,81.335,82.285,82.04,RH,2076_2100
IV,NA,82.379,69.28,69.28,67.095,81.817,80.373,80.252,81.311,82.26,RH,2076_2100
V,NA,79.322,73.087,77.022,74.055,82.97,80.117,80.785,79.703,81.17,RH,2076_2100
VI,NA,81.671,74.079,74.509,71.212,82.192,76.551,76.779,71.163,77.938,RH,2076_2100
VII,NA,78.92,75.11,68.698,64.635,79.196,67.937,70.559,61.744,72.399,RH,2076_2100
VIII,NA,76.733,76.838,68.54,64.603,78.42,62.309,69.456,61.709,68.747,RH,2076_2100
IX,NA,76.59,78.598,71.602,69.035,82.205,69.336,72.653,68.155,74.647,RH,2076_2100
X,NA,83.933,80.898,79.725,78.652,85.765,80.784,81.369,80.569,82.914,RH,2076_2100
XI,NA,89.461,83.829,85.755,85.905,87.527,87.618,84.964,87.588,86.918,RH,2076_2100
XII,NA,89.851,85.331,87.816,88.891,87.837,87.775,85.407,88.678,87.711,RH,2076_2100
I,3.0652,3.6037,4.7817,3.9775,3.5391,4.8762,5.2461,5.599,4.9113,4.7054,u10,1981_2005
II,3.004,3.6797,4.62,3.6705,3.9194,4.7357,4.7059,5.1791,5.1997,4.6851,u10,1981_2005
III,2.9875,3.6688,4.4667,3.312,3.8949,4.494,4.4982,4.9607,4.7942,4.4324,u10,1981_2005
IV,2.7377,3.5071,4.4332,3.3116,3.579,4.224,4.1028,4.5281,4.0825,4.0695,u10,1981_2005
V,2.5742,3.3359,4.3127,3.2414,3.0803,3.7759,3.8388,4.0585,3.5022,3.5196,u10,1981_2005
VI,2.5461,3.3394,3.987,3.2263,2.7116,3.4866,3.6185,3.4514,3.1733,3.5945,u10,1981_2005
VII,2.5145,3.3978,3.8943,3.1065,2.8376,3.443,3.4474,3.1581,3.3375,3.606,u10,1981_2005
VIII,2.3846,3.3311,3.8972,2.9758,3.0819,3.5463,3.6355,3.3212,3.5024,3.6309,u10,1981_2005
IX,2.6169,3.3439,4.0109,3.2422,3.1657,3.8445,3.8828,3.7104,3.6786,3.8354,u10,1981_2005
X,2.8041,3.5239,4.3533,3.3489,3.2495,4.0346,4.1778,4.3548,3.8691,4.4502,u10,1981_2005
XI,2.7888,3.4266,4.502,3.5397,3.5168,4.4061,4.6238,5.0243,4.455,4.4688,u10,1981_2005
XII,2.945,3.8234,4.805,3.7012,3.3753,4.6738,4.8088,5.451,4.8117,4.9641,u10,1981_2005
I,NA,3.6221,4.8473,4.0619,4.1949,5.0277,4.902,5.5584,5.2501,4.8157,u10,2076_2100
II,NA,3.7456,4.8449,3.611,3.9022,4.8484,4.5855,5.3889,4.8504,4.9124,u10,2076_2100
III,NA,3.8748,4.4498,3.4877,3.8254,4.4532,4.5069,5.0322,4.5169,4.8241,u10,2076_2100
IV,NA,3.6001,4.326,3.4648,3.614,4.1556,4.0738,4.7377,4.0962,4.1548,u10,2076_2100
V,NA,3.3994,4.28,3.393,3.0734,3.7941,3.8306,4.0484,3.4117,3.6517,u10,2076_2100
VI,NA,3.239,3.8477,3.1113,2.6873,3.4581,3.6053,3.3019,3.1544,3.5267,u10,2076_2100
VII,NA,3.1034,3.615,2.9164,2.7583,3.3984,3.3767,3.0607,3.3121,3.3943,u10,2076_2100
VIII,NA,3.0039,3.5335,2.9002,2.8461,3.6761,3.3835,3.1354,3.3788,3.4069,u10,2076_2100
IX,NA,3.463,3.7136,3.1074,2.9682,3.711,3.6053,3.3931,3.3681,4.0126,u10,2076_2100
X,NA,3.4609,4.0128,3.2646,3.1899,4.0615,4.1797,4.3195,3.8019,4.2508,u10,2076_2100
XI,NA,3.669,4.5762,3.5899,3.4474,4.6126,4.4298,5.2292,4.2308,4.6877,u10,2076_2100
XII,NA,3.9169,4.8887,3.9891,3.9372,4.7642,4.8183,5.8171,4.7632,5.0449,u10,2076_2100
I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
III,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
VI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
VII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
VIII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
IX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
XI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
XII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,1981_2005
I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
III,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
VI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
VII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
VIII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
IX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
XI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
XII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAI,2076_2100
I,NA,NA,NA,0.081,NA,0.072971,0.094732,0.106,0.090811,0.085418,VPD_d,1981_2005
II,NA,NA,NA,0.11363,NA,0.087386,0.10762,0.11251,0.12946,0.10876,VPD_d,1981_2005
III,NA,NA,NA,0.2149,NA,0.13284,0.15893,0.16436,0.17176,0.16369,VPD_d,1981_2005
IV,NA,NA,NA,0.33894,NA,0.18931,0.21288,0.2016,0.22791,0.21246,VPD_d,1981_2005
V,NA,NA,NA,0.38575,NA,0.24792,0.26377,0.23988,0.32,0.27486,VPD_d,1981_2005
VI,NA,NA,NA,0.40945,NA,0.3243,0.34477,0.33664,0.6132,0.3956,VPD_d,1981_2005
VII,NA,NA,NA,0.56192,NA,0.48147,0.5194,0.52022,0.84397,0.53486,VPD_d,1981_2005
VIII,NA,NA,NA,0.6122,NA,0.51946,0.61988,0.57027,0.84471,0.53494,VPD_d,1981_2005
IX,NA,NA,NA,0.39563,NA,0.33977,0.39486,0.36672,0.50163,0.39601,VPD_d,1981_2005
X,NA,NA,NA,0.22241,NA,0.18625,0.21507,0.21652,0.22182,0.23083,VPD_d,1981_2005
XI,NA,NA,NA,0.1062,NA,0.10281,0.12792,0.14058,0.12632,0.11838,VPD_d,1981_2005
XII,NA,NA,NA,0.07128,NA,0.078498,0.086554,0.11166,0.088069,0.094015,VPD_d,1981_2005
I,NA,NA,NA,0.10679,NA,0.10207,0.11124,0.13021,0.12159,0.109,VPD_d,2076_2100
II,NA,NA,NA,0.17427,NA,0.12955,0.13069,0.16183,0.13956,0.13603,VPD_d,2076_2100
III,NA,NA,NA,0.27207,NA,0.16573,0.19055,0.19767,0.19515,0.2004,VPD_d,2076_2100
IV,NA,NA,NA,0.42471,NA,0.20836,0.25723,0.24005,0.25916,0.24787,VPD_d,2076_2100
V,NA,NA,NA,0.38417,NA,0.25172,0.33074,0.30821,0.41692,0.34845,VPD_d,2076_2100
VI,NA,NA,NA,0.52582,NA,0.3751,0.50494,0.57616,0.93351,0.51555,VPD_d,2076_2100
VII,NA,NA,NA,0.78365,NA,0.53313,0.90503,0.91223,1.3432,0.81866,VPD_d,2076_2100
VIII,NA,NA,NA,0.78501,NA,0.54769,1.1106,0.90594,1.2825,0.97511,VPD_d,2076_2100
